prefix,design,files
K,12901,"[{""prefix"":""K"",""name"":""12901.webp"",""design"":""12901"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""12901T.webp"",""design"":""12901"",""annex"":""T"",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""12901_ham.webp"",""design"":""12901"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""},{""prefix"":""K"",""name"":""12901-2.webp"",""design"":""12901"",""annex"":"""",""variant"":"""",""imageNo"":""2""},{""prefix"":""K"",""name"":""12901T-2.webp"",""design"":""12901"",""annex"":""T"",""variant"":"""",""imageNo"":""2""},{""prefix"":""K"",""name"":""12901_ham-2.webp"",""design"":""12901"",""annex"":"""",""variant"":""ham"",""imageNo"":""2""}]"
K,12902,"[{""prefix"":""K"",""name"":""12902_ham.webp"",""design"":""12902"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12903,"[{""prefix"":""K"",""name"":""12903.webp"",""design"":""12903"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""12903_ham.webp"",""design"":""12903"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""},{""prefix"":""K"",""name"":""12903-2.webp"",""design"":""12903"",""annex"":"""",""variant"":"""",""imageNo"":""2""},{""prefix"":""K"",""name"":""12903_ham-2.webp"",""design"":""12903"",""annex"":"""",""variant"":""ham"",""imageNo"":""2""}]"
K,12904,"[{""prefix"":""K"",""name"":""12904T.webp"",""design"":""12904"",""annex"":""T"",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""12904_ham.webp"",""design"":""12904"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
AP,12025,"[{""prefix"":""AP"",""name"":""AP12025_ham.webp"",""design"":""12025"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
AP,12026,"[{""prefix"":""AP"",""name"":""AP12026_ham.webp"",""design"":""12026"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
AP,12027,"[{""prefix"":""AP"",""name"":""AP12027.webp"",""design"":""12027"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
K,12905,"[{""prefix"":""K"",""name"":""12905.webp"",""design"":""12905"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""12905_ham.webp"",""design"":""12905"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12906,"[{""prefix"":""K"",""name"":""12906.webp"",""design"":""12906"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""12906_ham.webp"",""design"":""12906"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12907,"[{""prefix"":""K"",""name"":""12907_ham.webp"",""design"":""12907"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12908,"[{""prefix"":""K"",""name"":""12908_ham.webp"",""design"":""12908"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12909,"[{""prefix"":""K"",""name"":""12909_ham.webp"",""design"":""12909"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12910,"[{""prefix"":""K"",""name"":""12910_ham.webp"",""design"":""12910"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1719,"[{""prefix"":""N"",""name"":""1719.webp"",""design"":""1719"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1726,"[{""prefix"":""N"",""name"":""1726.webp"",""design"":""1726"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1726_ham.webp"",""design"":""1726"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1727,"[{""prefix"":""N"",""name"":""1727.webp"",""design"":""1727"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1727_ham.webp"",""design"":""1727"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1728,"[{""prefix"":""N"",""name"":""1728.webp"",""design"":""1728"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1728_ham.webp"",""design"":""1728"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1730,"[{""prefix"":""N"",""name"":""1730.webp"",""design"":""1730"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1730_ham.webp"",""design"":""1730"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1731,"[{""prefix"":""N"",""name"":""1731_ham.webp"",""design"":""1731"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1732,"[{""prefix"":""N"",""name"":""1732.webp"",""design"":""1732"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1733,"[{""prefix"":""N"",""name"":""1733.webp"",""design"":""1733"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1733_ham.webp"",""design"":""1733"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1737,"[{""prefix"":""N"",""name"":""1737T.webp"",""design"":""1737"",""annex"":""T"",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1737_ham.webp"",""design"":""1737"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1738,"[{""prefix"":""N"",""name"":""1738T.webp"",""design"":""1738"",""annex"":""T"",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1738_ham.webp"",""design"":""1738"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1739,"[{""prefix"":""N"",""name"":""1739T.webp"",""design"":""1739"",""annex"":""T"",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1739_ham.webp"",""design"":""1739"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1740,"[{""prefix"":""N"",""name"":""1740_ham.webp"",""design"":""1740"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1741,"[{""prefix"":""N"",""name"":""1741_ham.webp"",""design"":""1741"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1742,"[{""prefix"":""N"",""name"":""1742T.webp"",""design"":""1742"",""annex"":""T"",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1742_ham.webp"",""design"":""1742"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1743,"[{""prefix"":""N"",""name"":""1743T.webp"",""design"":""1743"",""annex"":""T"",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1743_ham.webp"",""design"":""1743"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24901,"[{""prefix"":""K"",""name"":""24901.webp"",""design"":""24901"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
K,24930,"[{""prefix"":""K"",""name"":""24930_ham.webp"",""design"":""24930"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24931,"[{""prefix"":""K"",""name"":""24931_ham.webp"",""design"":""24931"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,48092,"[{""prefix"":""K"",""name"":""48092.webp"",""design"":""48092"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""48092_ham.webp"",""design"":""48092"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""},{""prefix"":""K"",""name"":""48092_white.webp"",""design"":""48092"",""annex"":"""",""variant"":""white"",""imageNo"":""1""}]"
AP,12024,"[{""prefix"":""AP"",""name"":""AP12024_ham.webp"",""design"":""12024"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12022,"[{""prefix"":""K"",""name"":""12022_ham.webp"",""design"":""12022"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12023,"[{""prefix"":""K"",""name"":""12023_ham.webp"",""design"":""12023"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12830,"[{""prefix"":""K"",""name"":""12830_ham.webp"",""design"":""12830"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12831,"[{""prefix"":""K"",""name"":""12831_ham.webp"",""design"":""12831"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12850,"[{""prefix"":""K"",""name"":""12850_ham.webp"",""design"":""12850"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12853,"[{""prefix"":""K"",""name"":""12853_ham.webp"",""design"":""12853"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12868,"[{""prefix"":""K"",""name"":""12868_ham.webp"",""design"":""12868"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12881,"[{""prefix"":""K"",""name"":""12881_ham.webp"",""design"":""12881"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12884,"[{""prefix"":""K"",""name"":""12884_ham.webp"",""design"":""12884"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12885,"[{""prefix"":""K"",""name"":""12885_ham.webp"",""design"":""12885"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12890,"[{""prefix"":""K"",""name"":""12890_ham.webp"",""design"":""12890"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12891,"[{""prefix"":""K"",""name"":""12891_ham.webp"",""design"":""12891"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,12892,"[{""prefix"":""K"",""name"":""12892_ham.webp"",""design"":""12892"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1698,"[{""prefix"":""N"",""name"":""1698_ham.webp"",""design"":""1698"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1699,"[{""prefix"":""N"",""name"":""1699T.webp"",""design"":""1699"",""annex"":""T"",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1699_ham.webp"",""design"":""1699"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1700,"[{""prefix"":""N"",""name"":""1700.webp"",""design"":""1700"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1700_ham.webp"",""design"":""1700"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""},{""prefix"":""N"",""name"":""1700-2.webp"",""design"":""1700"",""annex"":"""",""variant"":"""",""imageNo"":""2""}]"
N,1701,"[{""prefix"":""N"",""name"":""1701T.webp"",""design"":""1701"",""annex"":""T"",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1701_ham.webp"",""design"":""1701"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""},{""prefix"":""N"",""name"":""1701T-2.webp"",""design"":""1701"",""annex"":""T"",""variant"":"""",""imageNo"":""2""}]"
N,1702,"[{""prefix"":""N"",""name"":""1702_ham.webp"",""design"":""1702"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1703,"[{""prefix"":""N"",""name"":""1703.webp"",""design"":""1703"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1703_ham.webp"",""design"":""1703"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1704,"[{""prefix"":""N"",""name"":""1704.webp"",""design"":""1704"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1704_ham.webp"",""design"":""1704"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1705,"[{""prefix"":""N"",""name"":""1705_ham.webp"",""design"":""1705"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1706,"[{""prefix"":""N"",""name"":""1706.webp"",""design"":""1706"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1706T_colors.webp"",""design"":""1706"",""annex"":""T"",""variant"":""colors"",""imageNo"":""1""},{""prefix"":""N"",""name"":""1706_ham.webp"",""design"":""1706"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1707,"[{""prefix"":""N"",""name"":""1707.webp"",""design"":""1707"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1707_ham.webp"",""design"":""1707"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1708,"[{""prefix"":""N"",""name"":""1708.webp"",""design"":""1708"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1708_ham.webp"",""design"":""1708"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1709,"[{""prefix"":""N"",""name"":""1709.webp"",""design"":""1709"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1709_ham.webp"",""design"":""1709"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""},{""prefix"":""N"",""name"":""1709T-2.webp"",""design"":""1709"",""annex"":""T"",""variant"":"""",""imageNo"":""2""}]"
N,1710,"[{""prefix"":""N"",""name"":""1710.webp"",""design"":""1710"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1710_ham.webp"",""design"":""1710"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""},{""prefix"":""N"",""name"":""1710_ham-2.webp"",""design"":""1710"",""annex"":"""",""variant"":""ham"",""imageNo"":""2""}]"
N,1711,"[{""prefix"":""N"",""name"":""1711.webp"",""design"":""1711"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1711_ham.webp"",""design"":""1711"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1712,"[{""prefix"":""N"",""name"":""1712.webp"",""design"":""1712"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1712_ham.webp"",""design"":""1712"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1713,"[{""prefix"":""N"",""name"":""1713.webp"",""design"":""1713"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1713_ham.webp"",""design"":""1713"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1717,"[{""prefix"":""N"",""name"":""1717.webp"",""design"":""1717"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1717_ham.webp"",""design"":""1717"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1718,"[{""prefix"":""N"",""name"":""1718.webp"",""design"":""1718"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1718_ham.webp"",""design"":""1718"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1720,"[{""prefix"":""N"",""name"":""1720_ham.webp"",""design"":""1720"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1723,"[{""prefix"":""N"",""name"":""1723_ham.webp"",""design"":""1723"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1724,"[{""prefix"":""N"",""name"":""1724_ham.webp"",""design"":""1724"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1725,"[{""prefix"":""N"",""name"":""1725_ham.webp"",""design"":""1725"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24863,"[{""prefix"":""K"",""name"":""24863.webp"",""design"":""24863"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""24863_ham.webp"",""design"":""24863"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24872,"[{""prefix"":""K"",""name"":""24872_ham.webp"",""design"":""24872"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24873,"[{""prefix"":""K"",""name"":""24873.webp"",""design"":""24873"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""24873_ham.webp"",""design"":""24873"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24883,"[{""prefix"":""K"",""name"":""24883.webp"",""design"":""24883"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""24883_ham.webp"",""design"":""24883"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24884,"[{""prefix"":""K"",""name"":""24884.webp"",""design"":""24884"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""24884_ham.webp"",""design"":""24884"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24887,"[{""prefix"":""K"",""name"":""24887.webp"",""design"":""24887"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""24887_ham.webp"",""design"":""24887"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24888,"[{""prefix"":""K"",""name"":""24888.webp"",""design"":""24888"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""24888_ham.webp"",""design"":""24888"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24891,"[{""prefix"":""K"",""name"":""24891.webp"",""design"":""24891"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""24891_ham.webp"",""design"":""24891"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24902,"[{""prefix"":""K"",""name"":""24902.webp"",""design"":""24902"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""24902_ham.webp"",""design"":""24902"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24903,"[{""prefix"":""K"",""name"":""24903.webp"",""design"":""24903"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""24903_ham.webp"",""design"":""24903"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24904,"[{""prefix"":""K"",""name"":""24904_ham.webp"",""design"":""24904"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24905,"[{""prefix"":""K"",""name"":""24905.webp"",""design"":""24905"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""24905_ham.webp"",""design"":""24905"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24906,"[{""prefix"":""K"",""name"":""24906_ham.webp"",""design"":""24906"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24907,"[{""prefix"":""K"",""name"":""24907.webp"",""design"":""24907"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""24907_ham.webp"",""design"":""24907"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24908,"[{""prefix"":""K"",""name"":""24908.webp"",""design"":""24908"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""K"",""name"":""24908_ham.webp"",""design"":""24908"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24909,"[{""prefix"":""K"",""name"":""24909_ham.webp"",""design"":""24909"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24910,"[{""prefix"":""K"",""name"":""24910_ham.webp"",""design"":""24910"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24911,"[{""prefix"":""K"",""name"":""24911_ham.webp"",""design"":""24911"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24912,"[{""prefix"":""K"",""name"":""24912_ham.webp"",""design"":""24912"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24914,"[{""prefix"":""K"",""name"":""24914_ham.webp"",""design"":""24914"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24916,"[{""prefix"":""K"",""name"":""24916.webp"",""design"":""24916"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
K,24917,"[{""prefix"":""K"",""name"":""24917.webp"",""design"":""24917"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
K,24918,"[{""prefix"":""K"",""name"":""24918_ham.webp"",""design"":""24918"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24920,"[{""prefix"":""K"",""name"":""24920_ham.webp"",""design"":""24920"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,24921,"[{""prefix"":""K"",""name"":""24921.webp"",""design"":""24921"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
K,8775,"[{""prefix"":""K"",""name"":""8775_ham.webp"",""design"":""8775"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,8776,"[{""prefix"":""K"",""name"":""8776_ham.webp"",""design"":""8776"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,8778,"[{""prefix"":""K"",""name"":""8778_ham.webp"",""design"":""8778"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
K,8784,"[{""prefix"":""K"",""name"":""8784_ham.webp"",""design"":""8784"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
AP,12013,"[{""prefix"":""AP"",""name"":""AP12013_ham.webp"",""design"":""12013"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
AP,12014,"[{""prefix"":""AP"",""name"":""AP12014_ham.webp"",""design"":""12014"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
AP,12022,"[{""prefix"":""AP"",""name"":""AP12022.webp"",""design"":""12022"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""AP"",""name"":""AP12022_ham.webp"",""design"":""12022"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
AP,12023,"[{""prefix"":""AP"",""name"":""AP12023.webp"",""design"":""12023"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""AP"",""name"":""AP12023_ham.webp"",""design"":""12023"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""},{""prefix"":""AP"",""name"":""AP12023-2.webp"",""design"":""12023"",""annex"":"""",""variant"":"""",""imageNo"":""2""}]"
AP,24012,"[{""prefix"":""AP"",""name"":""AP24012.webp"",""design"":""24012"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""AP"",""name"":""AP24012_ham.webp"",""design"":""24012"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
AP,24013,"[{""prefix"":""AP"",""name"":""AP24013.webp"",""design"":""24013"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""AP"",""name"":""AP24013_ham.webp"",""design"":""24013"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""},{""prefix"":""AP"",""name"":""AP24013-2.webp"",""design"":""24013"",""annex"":"""",""variant"":"""",""imageNo"":""2""}]"
AP,8004,"[{""prefix"":""AP"",""name"":""AP8004.webp"",""design"":""8004"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""AP"",""name"":""AP8004_ham.webp"",""design"":""8004"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
AP,8005,"[{""prefix"":""AP"",""name"":""AP8005.webp"",""design"":""8005"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""AP"",""name"":""AP8005_ham.webp"",""design"":""8005"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
AP,8006,"[{""prefix"":""AP"",""name"":""AP8006.webp"",""design"":""8006"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""AP"",""name"":""AP8006_ham.webp"",""design"":""8006"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""},{""prefix"":""AP"",""name"":""AP8006-2.webp"",""design"":""8006"",""annex"":"""",""variant"":"""",""imageNo"":""2""}]"
AP,8007,"[{""prefix"":""AP"",""name"":""AP8007_ham.webp"",""design"":""8007"",""annex"":"""",""variant"":""ham"",""imageNo"":""1""}]"
N,1002,"[{""prefix"":""N"",""name"":""1002.webp"",""design"":""1002"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1003,"[{""prefix"":""N"",""name"":""1003.webp"",""design"":""1003"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1006,"[{""prefix"":""N"",""name"":""1006.webp"",""design"":""1006"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1006-2.webp"",""design"":""1006"",""annex"":"""",""variant"":"""",""imageNo"":""2""}]"
N,1008,"[{""prefix"":""N"",""name"":""1008.webp"",""design"":""1008"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1009,"[{""prefix"":""N"",""name"":""1009T.webp"",""design"":""1009"",""annex"":""T"",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1009_G01.webp"",""design"":""1009"",""annex"":"""",""variant"":""G01"",""imageNo"":""1""},{""prefix"":""N"",""name"":""1009_K07.webp"",""design"":""1009"",""annex"":"""",""variant"":""K07"",""imageNo"":""1""},{""prefix"":""N"",""name"":""1009_K16.webp"",""design"":""1009"",""annex"":"""",""variant"":""K16"",""imageNo"":""1""},{""prefix"":""N"",""name"":""1009_K49.webp"",""design"":""1009"",""annex"":"""",""variant"":""K49"",""imageNo"":""1""}]"
N,1013,"[{""prefix"":""N"",""name"":""1013.webp"",""design"":""1013"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1014,"[{""prefix"":""N"",""name"":""1014.webp"",""design"":""1014"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1016,"[{""prefix"":""N"",""name"":""1016.webp"",""design"":""1016"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1020,"[{""prefix"":""N"",""name"":""1020.webp"",""design"":""1020"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1021,"[{""prefix"":""N"",""name"":""1021.webp"",""design"":""1021"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1026,"[{""prefix"":""N"",""name"":""1026.webp"",""design"":""1026"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1031,"[{""prefix"":""N"",""name"":""1031.webp"",""design"":""1031"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1031_K07.webp"",""design"":""1031"",""annex"":"""",""variant"":""K07"",""imageNo"":""1""}]"
N,1037,"[{""prefix"":""N"",""name"":""1037_K12.webp"",""design"":""1037"",""annex"":"""",""variant"":""K12"",""imageNo"":""1""}]"
N,1038,"[{""prefix"":""N"",""name"":""1038_K08.webp"",""design"":""1038"",""annex"":"""",""variant"":""K08"",""imageNo"":""1""}]"
N,1043,"[{""prefix"":""N"",""name"":""1043_K07.webp"",""design"":""1043"",""annex"":"""",""variant"":""K07"",""imageNo"":""1""}]"
N,1045,"[{""prefix"":""N"",""name"":""1045.webp"",""design"":""1045"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1049,"[{""prefix"":""N"",""name"":""1049.webp"",""design"":""1049"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1050,"[{""prefix"":""N"",""name"":""1050.webp"",""design"":""1050"",""annex"":"""",""variant"":"""",""imageNo"":""1""}]"
N,1053,"[{""prefix"":""N"",""name"":""1053_G05.webp"",""design"":""1053"",""annex"":"""",""variant"":""G05"",""imageNo"":""1""},{""prefix"":""N"",""name"":""1053_G17.webp"",""design"":""1053"",""annex"":"""",""variant"":""G17"",""imageNo"":""1""}]"
N,1056,"[{""prefix"":""N"",""name"":""1056-1.webp"",""design"":""1056"",""annex"":"""",""variant"":"""",""imageNo"":""1""},{""prefix"":""N"",""name"":""1056_K12.webp"",""design"":""1056"",""annex"":"""",""variant"":""K12"",""imageNo"":""1""},{""prefix"":""N"",""name"":""1056-2.webp"",""design"":""1056"",""annex"":"""",""variant"":"""",""imageNo"":""2""}]"
N,1057,"[{""prefix"":""N"",""name"":""1057_K12.webp"",""design"":""1057"",""annex"":"""",""variant"":""K12"",""imageNo"":""1""}]"
